INSEE_CO;CP;SUPERFICIE;POPULATION;prob;severite;type_evt;survenance;csq;date_bulletin;Heure_d�p�t;date_prevision;Type 
09176;09250;2655;551;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11001;11800;1056;521;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11092;11160;1765;81;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alertes
09043;09600;481;727;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11204;11240;752;36;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11011;11600;2147;414;40;2;Inoddations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11246;11240;447;59;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09215;09300;557;122;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66075;66800;2053;131;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09227;09300;549;192;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11014;11110;1250;1551;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11269;11590;3017;2323;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09314;09500;515;237;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11285;11440;3548;1049;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11441;11110;895;2522;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11106;11110;2456;6050;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09020;09460;1246;49;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11433;11160;2458;1053;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09211;09300;3746;124;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11096;11340;1445;30;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11280;11700;1029;1004;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11405;11120;616;540;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11084;11170;919;802;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
34020;34210;1431;426;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11004;11240;1440;343;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11324;11200;758;485;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11369;11590;1256;2722;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09327;09120;1990;225;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09039;09500;1262;339;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
34141;34210;3118;548;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11348;11270;1175;77;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
34190;34210;904;282;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09262;09300;448;405;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11247;11240;704;44;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11212;11120;1058;475;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11360;11120;872;1842;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66105;66210;1937;281;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66220;66340;2619;46;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
